,name,Address,board
0,"Chinmaya International Residential School, Coimbatore","<li class=""schoolAddress"">
<i class=""careers-near-location""></i>
<span class=""details"">
<a href=""https://school.careers360.com/schools/schools-in-coimbatore?state=24"">Coimbatore</a>,
                     <a href=""https://school.careers360.com/schools/schools-in-tamil-nadu"">Tamil Nadu</a>
</span>
</li>","<li class=""schoolboardName"">
<i class=""careers-board""></i>
<span class=""details"">
<a href=""https://school.careers360.com/schools/cbse-schools-in-tamil-nadu"">CBSE</a>
                     ,   
                     
                     <a href=""https://school.careers360.com/schools/ib-schools-in-tamil-nadu"">IB</a>
</span>
</li>"
1,"The Geekay World School, Ammoor","<li class=""schoolAddress"">
<i class=""careers-near-location""></i>
<span class=""details"">
<a href=""https://school.careers360.com/schools/schools-in-vellore?state=24"">Vellore</a>,
                     <a href=""https://school.careers360.com/schools/schools-in-tamil-nadu"">Tamil Nadu</a>
</span>
</li>","<li class=""schoolboardName"">
<i class=""careers-board""></i>
<span class=""details"">
<a href=""https://school.careers360.com/schools/cbse-schools-in-tamil-nadu"">CBSE</a>
                     ,   
                     
                     <a href=""https://school.careers360.com/schools/caie-schools-in-tamil-nadu"">CAIE</a>
</span>
</li>"
2,"D A V Boys Senior Secondary School, Gopalapuram","<li class=""schoolAddress"">
<i class=""careers-near-location""></i>
<span class=""details"">
<a href=""https://school.careers360.com/schools/schools-in-chennai?state=24"">Chennai</a>,
                     <a href=""https://school.careers360.com/schools/schools-in-tamil-nadu"">Tamil Nadu</a>
</span>
</li>","<li class=""schoolboardName"">
<i class=""careers-board""></i>
<span class=""details"">
<a href=""https://school.careers360.com/schools/cbse-schools-in-tamil-nadu"">CBSE</a>
</span>
</li>"
3,"D A V Girls Senior Secondary School, Gopalapuram","<li class=""schoolAddress"">
<i class=""careers-near-location""></i>
<span class=""details"">
<a href=""https://school.careers360.com/schools/schools-in-chennai?state=24"">Chennai</a>,
                     <a href=""https://school.careers360.com/schools/schools-in-tamil-nadu"">Tamil Nadu</a>
</span>
</li>","<li class=""schoolboardName"">
<i class=""careers-board""></i>
<span class=""details"">
<a href=""https://school.careers360.com/schools/cbse-schools-in-tamil-nadu"">CBSE</a>
</span>
</li>"
4,"D A V Senior Secondary School, Mogappair","<li class=""schoolAddress"">
<i class=""careers-near-location""></i>
<span class=""details"">
<a href=""https://school.careers360.com/schools/schools-in-chennai?state=24"">Chennai</a>,
                     <a href=""https://school.careers360.com/schools/schools-in-tamil-nadu"">Tamil Nadu</a>
</span>
</li>","<li class=""schoolboardName"">
<i class=""careers-board""></i>
<span class=""details"">
<a href=""https://school.careers360.com/schools/cbse-schools-in-tamil-nadu"">CBSE</a>
</span>
</li>"
5,"DAV Senior Secondary School, Mogappair","<li class=""schoolAddress"">
<i class=""careers-near-location""></i>
<span class=""details"">
<a href=""https://school.careers360.com/schools/schools-in-chennai?state=24"">Chennai</a>,
                     <a href=""https://school.careers360.com/schools/schools-in-tamil-nadu"">Tamil Nadu</a>
</span>
</li>","<li class=""schoolboardName"">
<i class=""careers-board""></i>
<span class=""details"">
<a href=""https://school.careers360.com/schools/cbse-schools-in-tamil-nadu"">CBSE</a>
</span>
</li>"
6,"Sainik School, Amaravathinagar","<li class=""schoolAddress"">
<i class=""careers-near-location""></i>
<span class=""details"">
<a href=""https://school.careers360.com/schools/schools-in-tiruppur?state=24"">Tiruppur</a>,
                     <a href=""https://school.careers360.com/schools/schools-in-tamil-nadu"">Tamil Nadu</a>
</span>
</li>","<li class=""schoolboardName"">
<i class=""careers-board""></i>
<span class=""details"">
<a href=""https://school.careers360.com/schools/cbse-schools-in-tamil-nadu"">CBSE</a>
</span>
</li>"
7,"Amrita Vidyalayam, Ramasamy Nagar","<li class=""schoolAddress"">
<i class=""careers-near-location""></i>
<span class=""details"">
<a href=""https://school.careers360.com/schools/schools-in-coimbatore?state=24"">Coimbatore</a>,
                     <a href=""https://school.careers360.com/schools/schools-in-tamil-nadu"">Tamil Nadu</a>
</span>
</li>","<li class=""schoolboardName"">
<i class=""careers-board""></i>
<span class=""details"">
<a href=""https://school.careers360.com/schools/cbse-schools-in-tamil-nadu"">CBSE</a>
</span>
</li>"
8,"Bala Vidya Mandir Senior Secondary School, Adyar","<li class=""schoolAddress"">
<i class=""careers-near-location""></i>
<span class=""details"">
<a href=""https://school.careers360.com/schools/schools-in-chennai?state=24"">Chennai</a>,
                     <a href=""https://school.careers360.com/schools/schools-in-tamil-nadu"">Tamil Nadu</a>
</span>
</li>","<li class=""schoolboardName"">
<i class=""careers-board""></i>
<span class=""details"">
<a href=""https://school.careers360.com/schools/cbse-schools-in-tamil-nadu"">CBSE</a>
</span>
</li>"
9,"Bharatiya Vidya Bhavans Rajaji Vidyashram, Kilpauk","<li class=""schoolAddress"">
<i class=""careers-near-location""></i>
<span class=""details"">
<a href=""https://school.careers360.com/schools/schools-in-chennai?state=24"">Chennai</a>,
                     <a href=""https://school.careers360.com/schools/schools-in-tamil-nadu"">Tamil Nadu</a>
</span>
</li>","<li class=""schoolboardName"">
<i class=""careers-board""></i>
<span class=""details"">
<a href=""https://school.careers360.com/schools/cbse-schools-in-tamil-nadu"">CBSE</a>
</span>
</li>"
10,"CS Academy, Kovaipudur","<li class=""schoolAddress"">
<i class=""careers-near-location""></i>
<span class=""details"">
<a href=""https://school.careers360.com/schools/schools-in-coimbatore?state=24"">Coimbatore</a>,
                     <a href=""https://school.careers360.com/schools/schools-in-tamil-nadu"">Tamil Nadu</a>
</span>
</li>","<li class=""schoolboardName"">
<i class=""careers-board""></i>
<span class=""details"">
<a href=""https://school.careers360.com/schools/cbse-schools-in-tamil-nadu"">CBSE</a>
                     ,   
                     
                     <a href=""https://school.careers360.com/schools/caie-schools-in-tamil-nadu"">CAIE</a>
</span>
</li>"
11,"Chettinad Vidyashram, Rajah Annamalaipuram","<li class=""schoolAddress"">
<i class=""careers-near-location""></i>
<span class=""details"">
<a href=""https://school.careers360.com/schools/schools-in-chennai?state=24"">Chennai</a>,
                     <a href=""https://school.careers360.com/schools/schools-in-tamil-nadu"">Tamil Nadu</a>
</span>
</li>","<li class=""schoolboardName"">
<i class=""careers-board""></i>
<span class=""details"">
<a href=""https://school.careers360.com/schools/cbse-schools-in-tamil-nadu"">CBSE</a>
</span>
</li>"
12,"Chinmaya Vidyalaya, Anna Nagar","<li class=""schoolAddress"">
<i class=""careers-near-location""></i>
<span class=""details"">
<a href=""https://school.careers360.com/schools/schools-in-chennai?state=24"">Chennai</a>,
                     <a href=""https://school.careers360.com/schools/schools-in-tamil-nadu"">Tamil Nadu</a>
</span>
</li>","<li class=""schoolboardName"">
<i class=""careers-board""></i>
<span class=""details"">
<a href=""https://school.careers360.com/schools/cbse-schools-in-tamil-nadu"">CBSE</a>
</span>
</li>"
13,"DAV Public School, Velachery","<li class=""schoolAddress"">
<i class=""careers-near-location""></i>
<span class=""details"">
<a href=""https://school.careers360.com/schools/schools-in-chennai?state=24"">Chennai</a>,
                     <a href=""https://school.careers360.com/schools/schools-in-tamil-nadu"">Tamil Nadu</a>
</span>
</li>","<li class=""schoolboardName"">
<i class=""careers-board""></i>
<span class=""details"">
<a href=""https://school.careers360.com/schools/cbse-schools-in-tamil-nadu"">CBSE</a>
</span>
</li>"
14,"Hindustan International School, Karapakkam","<li class=""schoolAddress"">
<i class=""careers-near-location""></i>
<span class=""details"">
<a href=""https://school.careers360.com/schools/schools-in-chennai?state=24"">Chennai</a>,
                     <a href=""https://school.careers360.com/schools/schools-in-tamil-nadu"">Tamil Nadu</a>
</span>
</li>","<li class=""schoolboardName"">
<i class=""careers-board""></i>
<span class=""details"">
<a href=""https://school.careers360.com/schools/cbse-schools-in-tamil-nadu"">CBSE</a>
</span>
</li>"
15,"KRM Public School, Perambur","<li class=""schoolAddress"">
<i class=""careers-near-location""></i>
<span class=""details"">
<a href=""https://school.careers360.com/schools/schools-in-chennai?state=24"">Chennai</a>,
                     <a href=""https://school.careers360.com/schools/schools-in-tamil-nadu"">Tamil Nadu</a>
</span>
</li>","<li class=""schoolboardName"">
<i class=""careers-board""></i>
<span class=""details"">
<a href=""https://school.careers360.com/schools/cbse-schools-in-tamil-nadu"">CBSE</a>
</span>
</li>"
16,"National Model Secondary School, Peelamedu","<li class=""schoolAddress"">
<i class=""careers-near-location""></i>
<span class=""details"">
<a href=""https://school.careers360.com/schools/schools-in-coimbatore?state=24"">Coimbatore</a>,
                     <a href=""https://school.careers360.com/schools/schools-in-tamil-nadu"">Tamil Nadu</a>
</span>
</li>","<li class=""schoolboardName"">
<i class=""careers-board""></i>
<span class=""details"">
<a href=""https://school.careers360.com/schools/cbse-schools-in-tamil-nadu"">CBSE</a>
</span>
</li>"
17,"National Public School, Gopalapuram","<li class=""schoolAddress"">
<i class=""careers-near-location""></i>
<span class=""details"">
<a href=""https://school.careers360.com/schools/schools-in-chennai?state=24"">Chennai</a>,
                     <a href=""https://school.careers360.com/schools/schools-in-tamil-nadu"">Tamil Nadu</a>
</span>
</li>","<li class=""schoolboardName"">
<i class=""careers-board""></i>
<span class=""details"">
<a href=""https://school.careers360.com/schools/cbse-schools-in-tamil-nadu"">CBSE</a>
</span>
</li>"
18,"P S B B Senior Secondary School, Nungambakkam","<li class=""schoolAddress"">
<i class=""careers-near-location""></i>
<span class=""details"">
<a href=""https://school.careers360.com/schools/schools-in-chennai?state=24"">Chennai</a>,
                     <a href=""https://school.careers360.com/schools/schools-in-tamil-nadu"">Tamil Nadu</a>
</span>
</li>","<li class=""schoolboardName"">
<i class=""careers-board""></i>
<span class=""details"">
<a href=""https://school.careers360.com/schools/cbse-schools-in-tamil-nadu"">CBSE</a>
</span>
</li>"
19,"P S B B Senior Secondary School, K K Nagar","<li class=""schoolAddress"">
<i class=""careers-near-location""></i>
<span class=""details"">
<a href=""https://school.careers360.com/schools/schools-in-chennai?state=24"">Chennai</a>,
                     <a href=""https://school.careers360.com/schools/schools-in-tamil-nadu"">Tamil Nadu</a>
</span>
</li>","<li class=""schoolboardName"">
<i class=""careers-board""></i>
<span class=""details"">
<a href=""https://school.careers360.com/schools/cbse-schools-in-tamil-nadu"">CBSE</a>
</span>
</li>"
20,"Sir Sivaswami Kalalaya Senior Secondary School, Mylapore","<li class=""schoolAddress"">
<i class=""careers-near-location""></i>
<span class=""details"">
<a href=""https://school.careers360.com/schools/schools-in-chennai?state=24"">Chennai</a>,
                     <a href=""https://school.careers360.com/schools/schools-in-tamil-nadu"">Tamil Nadu</a>
</span>
</li>","<li class=""schoolboardName"">
<i class=""careers-board""></i>
<span class=""details"">
<a href=""https://school.careers360.com/schools/cbse-schools-in-tamil-nadu"">CBSE</a>
</span>
</li>"
21,"The Indian Public School, Perungudi","<li class=""schoolAddress"">
<i class=""careers-near-location""></i>
<span class=""details"">
<a href=""https://school.careers360.com/schools/schools-in-chennai?state=24"">Chennai</a>,
                     <a href=""https://school.careers360.com/schools/schools-in-tamil-nadu"">Tamil Nadu</a>
</span>
</li>","<li class=""schoolboardName"">
<i class=""careers-board""></i>
<span class=""details"">
<a href=""https://school.careers360.com/schools/ib-schools-in-tamil-nadu"">IB</a>
                     ,   
                     
                     <a href=""https://school.careers360.com/schools/caie-schools-in-tamil-nadu"">CAIE</a>
</span>
</li>"
22,"The Indian Public School, S.S. Kulam","<li class=""schoolAddress"">
<i class=""careers-near-location""></i>
<span class=""details"">
<a href=""https://school.careers360.com/schools/schools-in-coimbatore?state=24"">Coimbatore</a>,
                     <a href=""https://school.careers360.com/schools/schools-in-tamil-nadu"">Tamil Nadu</a>
</span>
</li>","<li class=""schoolboardName"">
<i class=""careers-board""></i>
<span class=""details"">
<a href=""https://school.careers360.com/schools/ib-schools-in-tamil-nadu"">IB</a>
                     ,   
                     
                     <a href=""https://school.careers360.com/schools/caie-schools-in-tamil-nadu"">CAIE</a>
</span>
</li>"
23,"The PSBB Millennium School, Somayampalyam","<li class=""schoolAddress"">
<i class=""careers-near-location""></i>
<span class=""details"">
<a href=""https://school.careers360.com/schools/schools-in-coimbatore?state=24"">Coimbatore</a>,
                     <a href=""https://school.careers360.com/schools/schools-in-tamil-nadu"">Tamil Nadu</a>
</span>
</li>","<li class=""schoolboardName"">
<i class=""careers-board""></i>
<span class=""details"">
<a href=""https://school.careers360.com/schools/cbse-schools-in-tamil-nadu"">CBSE</a>
</span>
</li>"
24,"Vidya Mandir School, Mylpore","<li class=""schoolAddress"">
<i class=""careers-near-location""></i>
<span class=""details"">
<a href=""https://school.careers360.com/schools/schools-in-chennai?state=24"">Chennai</a>,
                     <a href=""https://school.careers360.com/schools/schools-in-tamil-nadu"">Tamil Nadu</a>
</span>
</li>","<li class=""schoolboardName"">
<i class=""careers-board""></i>
<span class=""details"">
<a href=""https://school.careers360.com/schools/cbse-schools-in-tamil-nadu"">CBSE</a>
</span>
</li>"
